r_nn,r_no,spline
0.9,1.3834170854271353,-180.88020742579226
0.9,1.387185929648241,-180.87974583870863
0.9,1.3909547738693464,-180.87928852555265
0.9,1.3947236180904519,-180.87883609212287
0.9,1.3984924623115575,-180.87838914421766
0.9,1.402261306532663,-180.87794826488366
0.9,1.4060301507537685,-180.8775136967306
0.9,1.409798994974874,-180.87708542029944
0.9,1.4135678391959796,-180.8766634093899
0.9,1.417336683417085,-180.87624763780158
0.9,1.4211055276381908,-180.87583807933422
0.9,1.4248743718592962,-180.87543470778738
0.9,1.4286432160804017,-180.87503749696083
0.9,1.4324120603015071,-180.87464642065413
0.9,1.4361809045226126,-180.87426145266704
0.9,1.4399497487437183,-180.87388256679913
0.9,1.4437185929648237,-180.87350973685017
0.9,1.4474874371859294,-180.87314293661973
0.9,1.4512562814070349,-180.87278213990746
0.9,1.4550251256281403,-180.87242732051314
0.9,1.4587939698492458,-180.8720784522363
0.9,1.4625628140703513,-180.8717355088767
0.9,1.466331658291457,-180.87139846423392
0.9,1.4701005025125624,-180.87106729210765
0.9,1.473869346733668,-180.8707419662976
0.9,1.4776381909547736,-180.8704224606034
0.9,1.481407035175879,-180.8701087488247
0.9,1.4851758793969845,-180.86980080476118
0.9,1.48894472361809,-180.86949860221245
0.9,1.4927135678391956,-180.8692021149782
0.9,1.496482412060301,-180.86891131685817
0.9,1.5002512562814068,-180.8686261816519
0.9,1.5040201005025122,-180.86834668315913
0.9,1.5077889447236177,-180.86807279517956
0.9,1.5115577889447231,-180.86780449151271
0.9,1.5153266331658286,-180.86754174595845
0.9,1.5190954773869343,-180.86728453231618
0.9,1.5228643216080398,-180.86703282438577
0.9,1.5266331658291454,-180.8667865959668
0.9,1.530402010050251,-180.86654582085893
0.9,1.5341708542713564,-180.86631047286184
0.9,1.5379396984924618,-180.86608052577517
0.9,1.5417085427135673,-180.8658559533986
0.9,1.545477386934673,-180.86563672953184
0.9,1.5492462311557786,-180.8654228279745
0.9,1.553015075376884,-180.86521422252622
0.9,1.5567839195979896,-180.8650108869867
0.9,1.560552763819095,-180.8648127951556
0.9,1.5643216080402005,-180.86461992083255
0.9,1.568090452261306,-180.86443223781723
0.9,1.5718592964824116,-180.8642497199093
0.9,1.5756281407035173,-180.86407234090848
0.9,1.5793969849246228,-180.86390007461432
0.9,1.5831658291457282,-180.86373289482657
0.9,1.5869346733668337,-180.86357077534487
0.9,1.5907035175879392,-180.86341368996887
0.9,1.5944723618090448,-180.8632616124982
0.9,1.5982412060301503,-180.86311451673268
0.9,1.602010050251256,-180.86297237647176
0.9,1.6057788944723614,-180.86283516551515
0.9,1.609547738693467,-180.86270285766267
0.9,1.6133165829145724,-180.8625754267138
0.9,1.6170854271356778,-180.86245284646827
0.9,1.6208542713567835,-180.86233509072574
0.9,1.624623115577889,-180.8622221332859
0.9,1.6283919597989946,-180.86211394794836
0.9,1.6321608040201,-180.8620105085128
0.9,1.6359296482412056,-180.8619117887789
0.9,1.639698492462311,-180.86181776254637
0.9,1.6434673366834165,-180.86172840361476
0.9,1.6472361809045222,-180.8616436857838
0.9,1.6510050251256276,-180.86156358285314
0.9,1.6547738693467333,-180.86148806862244
0.9,1.6585427135678388,-180.86141711689135
0.9,1.6623115577889442,-180.86135070145957
0.9,1.6660804020100497,-180.8612887961267
0.9,1.6698492462311552,-180.86123137469244
0.9,1.6736180904522608,-180.8611784109565
0.9,1.6773869346733663,-180.86112987871846
0.9,1.681155778894472,-180.86108575177803
0.9,1.6849246231155774,-180.86104600393486
0.9,1.688693467336683,-180.86101060898858
0.9,1.6924623115577884,-180.8609795407389
0.9,1.6962311557788938,-180.8609527729855
0.9,1.6999999999999995,-180.86093027952793
0.90678391959799,0.95,-180.66654174845905
0.90678391959799,0.9537688442211055,-180.67562704891833
0.90678391959799,0.957537688442211,-180.68449604214166
0.90678391959799,0.9613065326633166,-180.69315125209454
0.90678391959799,0.965075376884422,-180.70159520274242
0.90678391959799,0.9688442211055276,-180.70983041805064
0.90678391959799,0.9726130653266332,-180.7178594219848
0.90678391959799,0.9763819095477386,-180.72568473851038
0.90678391959799,0.9801507537688442,-180.73330889159277
0.90678391959799,0.9839195979899497,-180.74073440519737
0.90678391959799,0.9876884422110552,-180.74796380328988
0.90678391959799,0.9914572864321607,-180.75499960983555
0.90678391959799,0.9952261306532663,-180.76184434879994
0.90678391959799,0.9989949748743718,-180.7685005441485
0.90678391959799,1.0027638190954773,-180.7749707198468
0.90678391959799,1.0065326633165828,-180.78125739986007
0.90678391959799,1.0103015075376884,-180.78736310815398
0.90678391959799,1.014070351758794,-180.7932903686939
0.90678391959799,1.0178391959798994,-180.7990417054454
0.90678391959799,1.0216080402010048,-180.80461964237384
0.90678391959799,1.0253768844221105,-180.8100267034447
0.90678391959799,1.029145728643216,-180.81526541262352
0.90678391959799,1.0329145728643214,-180.8203382938757
0.90678391959799,1.036683417085427,-180.82524787116668
0.90678391959799,1.0404522613065326,-180.829996668462
