r_nn,r_no,polynomial
0.90678391959799,1.0253768844221105,-180.81272511462774
0.90678391959799,1.029145728643216,-180.81801816764127
0.90678391959799,1.0329145728643214,-180.82315371342537
0.90678391959799,1.036683417085427,-180.82813427579876
0.90678391959799,1.0404522613065326,-180.83296236096456
0.90678391959799,1.044221105527638,-180.83764045751005
0.90678391959799,1.0479899497487437,-180.8421710364072
0.90678391959799,1.0517587939698492,-180.8465565510121
0.90678391959799,1.0555276381909546,-180.8507994370653
0.90678391959799,1.05929648241206,-180.8549021126917
0.90678391959799,1.0630653266331658,-180.8588669784006
0.90678391959799,1.0668341708542712,-180.8626964170857
0.90678391959799,1.0706030150753767,-180.86639279402493
0.90678391959799,1.0743718592964824,-180.86995845688082
0.90678391959799,1.0781407035175878,-180.8733957357001
0.90678391959799,1.0819095477386933,-180.87670694291387
0.90678391959799,1.085678391959799,-180.87989437333763
0.90678391959799,1.0894472361809044,-180.88296030417135
0.90678391959799,1.09321608040201,-180.88590699499923
0.90678391959799,1.0969849246231154,-180.8887366877899
0.90678391959799,1.100753768844221,-180.89145160689634
0.90678391959799,1.1045226130653265,-180.89405395905598
0.90678391959799,1.108291457286432,-180.8965459333905
0.90678391959799,1.1120603015075377,-180.89892970140613
0.90678391959799,1.1158291457286431,-180.90120741699317
0.90678391959799,1.1195979899497486,-180.90338121642668
0.90678391959799,1.123366834170854,-180.90545321836572
0.90678391959799,1.1271356783919597,-180.90742552385396
0.90678391959799,1.1309045226130652,-180.90930021631934
0.90678391959799,1.1346733668341706,-180.91107936157428
0.90678391959799,1.1384422110552763,-180.9127650078153
0.90678391959799,1.1422110552763818,-180.91435918562374
0.90678391959799,1.1459798994974872,-180.9158639079649
0.90678391959799,1.1497487437185927,-180.91728117018866
0.90678391959799,1.1535175879396984,-180.9186129500291
0.90678391959799,1.1572864321608038,-180.919861207605
0.90678391959799,1.1610552763819093,-180.9210278854191
0.90678391959799,1.164824120603015,-180.9221149083588
0.90678391959799,1.1685929648241205,-180.9231241836958
0.90678391959799,1.172361809045226,-180.92405760108608
0.90678391959799,1.1761306532663314,-180.92491703257016
0.90678391959799,1.179899497487437,-180.92570433257276
0.90678391959799,1.1836683417085425,-180.9264213379031
0.90678391959799,1.187437185929648,-180.92706986775462
0.90678391959799,1.1912060301507537,-180.92765172370534
0.90678391959799,1.1949748743718591,-180.92816868971744
0.90678391959799,1.1987437185929646,-180.92862253213775
0.90678391959799,1.20251256281407,-180.92901499969707
0.90678391959799,1.2062814070351757,-180.9293478235109
0.90678391959799,1.2100502512562812,-180.92962271707904
0.90678391959799,1.2138190954773866,-180.92984137628562
0.90678391959799,1.2175879396984923,-180.93000547939897
0.90678391959799,1.2213567839195978,-180.93011668707229
0.90678391959799,1.2251256281407032,-180.93017664234256
0.90678391959799,1.2288944723618087,-180.9301869706315
0.90678391959799,1.2326633165829144,-180.93014927974505
0.90678391959799,1.2364321608040199,-180.93006515987375
0.90678391959799,1.2402010050251255,-180.92993618359202
0.90678391959799,1.243969849246231,-180.92976390585926
0.90678391959799,1.2477386934673365,-180.92954986401884
0.90678391959799,1.251507537688442,-180.92929557779857
